0.24	 0.36	 S1
0.50	 0.64	 S1
1.04	 1.18	 S1
1.54	 1.68	 S1
2.08	 2.22	 S1
2.62	 2.74	 S1
3.14	 3.26	 S1
3.68	 3.80	 S1
4.20	 4.34	 S1
4.72	 4.86	 S1
5.28	 5.42	 S1
5.84	 5.98	 S1
6.38	 6.50	 S1
6.90	 7.02	 S1
7.44	 7.58	 S1
7.96	 8.08	 S1
8.48	 8.60	 S1
9.02	 9.14	 S1
9.54	 9.66	 S1
10.06	 10.20	 S1
10.60	 10.74	 S1
11.12	 11.26	 S1
11.64	 11.78	 S1
12.16	 12.30	 S1
12.68	 12.82	 S1
13.20	 13.34	 S1
13.74	 13.88	 S1
14.26	 14.38	 S1
14.78	 14.90	 S1
15.30	 15.44	 S1
15.82	 15.94	 S1
16.34	 16.48	 S1
16.90	 17.02	 S1
17.40	 17.54	 S1
17.90	 18.02	 S1
18.42	 18.56	 S1
18.92	 19.06	 S1
19.44	 19.56	 S1
0.78	 0.88	 S2
1.30	 1.40	 S2
1.82	 1.92	 S2
2.34	 2.44	 S2
2.90	 2.98	 S2
3.40	 3.50	 S2
3.94	 4.04	 S2
4.48	 4.58	 S2
5.00	 5.10	 S2
5.54	 5.64	 S2
6.16	 6.22	 S2
6.64	 6.74	 S2
7.16	 7.26	 S2
7.70	 7.80	 S2
8.22	 8.32	 S2
8.76	 8.84	 S2
9.28	 9.38	 S2
9.80	 9.90	 S2
10.34	 10.42	 S2
10.86	 10.96	 S2
11.38	 11.48	 S2
11.92	 12.02	 S2
12.44	 12.54	 S2
12.94	 13.04	 S2
13.48	 13.56	 S2
14.00	 14.10	 S2
14.52	 14.62	 S2
15.04	 15.14	 S2
15.56	 15.68	 S2
16.08	 16.18	 S2
16.62	 16.72	 S2
17.16	 17.26	 S2
17.68	 17.76	 S2
18.18	 18.26	 S2
18.68	 18.78	 S2
19.18	 19.28	 S2
19.70	 19.80	 S2
