0.36	 0.48	 S1
0.90	 1.02	 S1
1.40	 1.52	 S1
1.92	 2.04	 S1
2.46	 2.56	 S1
3.02	 3.12	 S1
3.60	 3.68	 S1
4.10	 4.22	 S1
4.64	 4.74	 S1
5.20	 5.30	 S1
5.80	 5.92	 S1
6.40	 6.54	 S1
6.98	 7.10	 S1
7.50	 7.64	 S1
8.04	 8.18	 S1
8.60	 8.72	 S1
9.16	 9.28	 S1
9.70	 9.82	 S1
10.24	 10.36	 S1
10.78	 10.90	 S1
11.36	 11.46	 S1
11.92	 12.02	 S1
12.20	 12.26	 S1
12.50	 12.60	 S1
13.06	 13.18	 S1
13.60	 13.72	 S1
14.16	 14.28	 S1
14.74	 14.86	 S1
15.38	 15.50	 S1
15.96	 16.08	 S1
16.50	 16.62	 S1
17.32	 17.44	 S1
17.88	 18.00	 S1
18.16	 18.28	 S1
18.68	 18.80	 S1
19.22	 19.32	 S1
19.48	 19.54	 S1
0.10	 0.18	 S2
0.64	 0.74	 S2
1.16	 1.26	 S2
1.68	 1.78	 S2
2.20	 2.28	 S2
2.72	 2.82	 S2
3.22	 3.40	 S2
3.84	 3.94	 S2
4.38	 4.48	 S2
4.92	 5.00	 S2
5.48	 5.56	 S2
6.08	 6.18	 S2
6.68	 6.78	 S2
7.24	 7.34	 S2
7.78	 7.88	 S2
8.34	 8.42	 S2
9.46	 9.56	 S2
9.98	 10.08	 S2
10.54	 10.62	 S2
11.08	 11.16	 S2
11.62	 11.72	 S2
12.78	 12.88	 S2
13.34	 13.44	 S2
13.90	 14.00	 S2
14.44	 14.54	 S2
15.02	 15.12	 S2
15.66	 15.78	 S2
16.24	 16.34	 S2
16.78	 16.88	 S2
17.62	 17.70	 S2
18.44	 18.54	 S2
18.98	 19.06	 S2
19.82	 19.90	 S2
