0.28	 0.40	 S1
0.54	 0.66	 S1
1.10	 1.22	 S1
1.64	 1.76	 S1
2.18	 2.30	 S1
2.76	 2.86	 S1
3.28	 3.42	 S1
3.84	 3.96	 S1
4.34	 4.48	 S1
4.90	 5.00	 S1
5.42	 5.54	 S1
5.96	 6.08	 S1
6.48	 6.60	 S1
7.02	 7.16	 S1
7.56	 7.70	 S1
8.08	 8.22	 S1
8.62	 8.74	 S1
9.14	 9.26	 S1
9.64	 9.78	 S1
10.18	 10.32	 S1
10.68	 10.82	 S1
11.22	 11.32	 S1
11.70	 11.84	 S1
12.22	 12.36	 S1
12.74	 12.86	 S1
13.24	 13.36	 S1
13.74	 13.88	 S1
14.26	 14.38	 S1
14.78	 14.90	 S1
15.28	 15.42	 S1
15.80	 15.92	 S1
16.30	 16.42	 S1
16.78	 16.92	 S1
17.30	 17.42	 S1
17.78	 17.86	 S1
18.02	 18.08	 S1
18.26	 18.40	 S1
18.78	 18.90	 S1
19.76	 19.88	 S1
0.80	 0.92	 S2
1.38	 1.48	 S2
1.90	 2.00	 S2
2.46	 2.56	 S2
3.02	 3.10	 S2
3.54	 3.64	 S2
4.08	 4.18	 S2
4.62	 4.70	 S2
5.14	 5.24	 S2
5.68	 5.76	 S2
6.20	 6.32	 S2
6.74	 6.84	 S2
7.28	 7.38	 S2
7.82	 7.92	 S2
8.34	 8.46	 S2
8.88	 8.98	 S2
9.38	 9.48	 S2
9.92	 10.02	 S2
10.44	 10.54	 S2
10.94	 11.04	 S2
11.46	 11.54	 S2
11.96	 12.06	 S2
12.48	 12.58	 S2
12.98	 13.10	 S2
13.50	 13.60	 S2
14.00	 14.10	 S2
14.52	 14.60	 S2
15.02	 15.12	 S2
15.54	 15.64	 S2
16.04	 16.14	 S2
16.54	 16.64	 S2
17.04	 17.14	 S2
17.54	 17.64	 S2
18.52	 18.62	 S2
19.06	 19.12	 S2
19.32	 19.38	 S2
19.52	 19.60	 S2
