0.158343	0.278343	 S1
0.246743	0.472114	M
0.454629	0.542057	 S2
0.705257	0.805257	 S1
0.779086	0.996686	M
0.986971	1.086971	 S2
1.273543	1.347314	 S1
1.335714	1.553314	M
1.543600	1.620343	 S2
1.854457	1.941429	 S1
1.926343	2.139086	M
2.128400	2.197371	 S2
2.408171	2.489771	 S1
2.482000	2.701543	M
2.689886	2.772457	 S2
2.955086	3.035086	 S1
3.018229	3.255257	M
3.240000	3.321314	 S2
3.561257	3.632686	 S1
3.618571	3.851714	M
3.832286	3.904171	 S2
4.199486	4.280629	 S1
4.254857	4.493829	M
4.473429	4.550171	 S2
4.783314	4.865829	 S1
4.800800	5.070857	M
5.054343	5.134971	 S2
5.332171	5.414686	 S1
5.398229	5.625543	M
5.599314	5.677029	 S2
5.859657	5.939257	 S1
5.923771	6.152057	M
6.127771	6.199657	 S2
6.476514	6.574171	 S1
6.548400	6.768914	M
6.760000	6.834971	 S2
7.101143	7.177829	 S1
7.108914	7.389657	M
7.380000	7.467371	 S2
7.646114	7.723829	 S1
7.714114	7.942400	M
7.925886	8.025886	 S2
8.193029	8.271714	 S1
8.253257	8.488343	M
8.476686	8.564114	 S2
8.814743	8.891486	 S1
8.882743	9.115886	M
9.100000	9.200000	 S2
9.441314	9.521943	 S1
9.459771	9.759943	M
9.723029	9.823029	 S2
9.993086	10.073086	 S1
10.058171	10.300057	M
10.277714	10.358343	 S2
10.538057	10.614800	 S1
10.602171	10.840171	M
10.822686	10.922686	 S2
11.154914	11.237486	 S1
11.217086	11.448286	M
11.440000	11.512400	 S2
11.794114	11.879600	 S1
11.855314	12.136057	M
12.080000	12.145771	 S2
12.371143	12.442057	 S1
12.384743	12.658686	M
12.651886	12.741257	 S2
12.922914	12.998686	 S1
12.981200	13.134686	M
13.216286	13.279429	 S2
13.475657	13.553371	 S1
13.535886	13.771943	M
13.754457	13.823429	 S2
14.184800	14.263486	 S1
14.243086	14.474286	M
14.460000	14.527714	 S2
