0.199795	0.240052	S1
0.240052	0.377970	M
0.417481	0.459230	S2
0.600130	0.680644	 S1
0.659024	0.781287	M
0.838690	0.898690	 S2
1.054886	1.105580	 S1
1.105580	1.260645	M
1.276301	1.332959	S2
1.477586	1.542445	 S1
1.535735	1.669926	M
1.713911	1.757895	S2
1.921160	1.963654	 S1
1.963654	2.072497	M
2.150775	2.186559	 S2
2.357279	2.411701	 S1
2.405737	2.514580	M
2.595095	2.627151	S2
2.789671	2.838874	 S1
2.838874	2.990957	M
3.012576	3.052833	S2
3.222808	3.274248	 S1
3.274248	3.413657	M
3.461369	3.495662	S2
3.654454	3.708876	 S1
3.698439	3.843812	M
3.885560	3.916871	S2
4.093555	4.139031	 S1
4.135303	4.276203	M
4.325406	4.362681	S2
4.528929	4.584096	 S1
4.564713	4.704122	M
4.765253	4.807001	S2
4.966539	5.022451	 S1
5.022451	5.135022	M
5.203608	5.246102	S2
5.404894	5.460061	 S1
5.460061	5.568905	M
5.633763	5.677003	S2
5.843250	5.902890	 S1
5.876052	6.051245	M
6.077338	6.113867	S2
6.275641	6.318135	S1
6.318135	6.467981	M
6.511220	6.551477	S2
6.702069	6.763200	 S1
6.763200	6.910064	M
6.924974	6.965977	S2
7.134460	7.183663	 S1
7.176208	7.319345	M
7.365566	7.408060	S2
7.558651	7.615310	 S1
7.588471	7.715952	M
7.794230	7.832251	M
8.008935	8.054411	 S1
8.044719	8.189347	M
8.241532	8.275079	S2
8.455491	8.508422	 S1
8.492021	8.632175	M
8.688833	8.727599	S2
8.904284	8.951996	 S1
8.938577	9.085441	M
9.139862	9.176392	S2
9.356058	9.407498	 S1
9.390351	9.526778	M
9.589401	9.629658	 S2
9.816779	9.866728	 S1
9.844362	9.972589	M
10.055340	10.084414	 S2
10.267062	10.323721	 S1
10.303592	10.452693	M
10.507114	10.544389	 S2
10.729274	10.793387	 S1
10.764313	10.891794	M
10.964853	11.002128	 S2
11.184031	11.239198	 S1
11.216833	11.334622	M
11.415882	11.462103	 S2
11.634314	11.674571	 S1
11.666371	11.790870	M
11.869148	11.905677	 S2
12.073415	12.135292	 S2
12.111436	12.214315	M
12.291848	12.342542	S2
12.499097	12.570666	 S1
12.546810	12.740640	M
12.727221	12.791334	S2
12.940000	12.994111	 S2
12.979201	13.202852	M
13.366862	13.422030	 S1
13.408611	13.641207	M
13.594986	13.660000	 S2
13.800745	13.857403	 S1
13.841002	13.993085	M
14.016941	14.067635	S2
14.213753	14.283831	 S1
14.255502	14.491080	M
14.441877	14.491080	S2
14.664037	14.729641	 S1
14.708767	14.941364	M
14.895143	14.932418	S2
15.096429	15.148614	 S2
15.138177	15.369283	M
15.327534	15.379720	S2
15.533293	15.597406	 S1
15.575041	15.795710	M
15.753962	15.815093	S2
15.971649	16.025325	 S1
16.007433	16.240030	M
16.201263	16.251958	S2
16.395094	16.460698	 S1
16.426405	16.667948	M
16.618745	16.676894	S2
16.815558	16.900545	S1
16.873707	17.104813	M
17.064556	17.116741	S2
17.273296	17.335919	 S1
17.312062	17.546150	M
17.492474	17.546150	S2
17.716125	17.774274	 S1
17.757873	17.984506	M
17.942758	17.996434	S2
18.152989	18.224558	 S1
18.185792	18.419879	M
18.378131	18.428825	S2
18.591345	18.656949	 S1
18.637566	18.856744	M
18.819469	18.873145	S2
19.025228	19.083377	 S1
19.074431	19.290626	M
19.247387	19.301063	S2
19.463583	19.526205	 S1
19.508313	19.737928	M
19.690216	19.737928	S2
19.897466	19.954124	 S1
19.939214	20.158392	M
20.124098	20.171811	S2
20.322402	20.386515	 S1
20.371605	20.586310	M
20.553508	20.607184	S2
20.765231	20.823380	 S1
20.798033	21.027648	M
20.987390	21.045540	S2
21.225951	21.278137	 S1
21.261735	21.495823	M
21.460039	21.495823	 S2
21.671762	21.719474	S1
21.710528	21.935670	M
21.883485	21.947598	 S2
22.107135	22.175722	 S1
22.153357	22.377007	M
22.348678	22.393408	S2
